periodo,seccion,indicador,entidad,valor
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Continental,13.64
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. De Comercio,12.03
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. De Crédito del Perú (con sucursales en el exterior),14.55
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Financiero,11.91
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Interamericano de Finanzas,12.14
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),Scotiabank Perú (con Sucursales en el Exterior),13.4
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),Citibank,13.14
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),Interbank (con sucursales en el exterior),16.71
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),Mibanco,16.8
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. GNB,14.22
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Falabella Perú,15.31
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Santander Perú,16.88
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Ripley,17.25
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Azteca Perú,18.14
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),Deutsche Bank Perú,33.26
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. Cencosud,28.08
2015-04,SOLVENCIA,Ratio de Capital Global (al 31/03/2014),B. ICBC,69.79
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Continental,13.05
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. De Comercio,7.31
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. De Crédito del Perú (con sucursales en el exterior),10.91
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Financiero,11.05
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Interamericano de Finanzas,14.41
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Scotiabank Perú (con Sucursales en el Exterior),9.63
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Citibank,10.24
2015-04,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Interbank (con sucursales en el exterior),10.96
