periodo,seccion,indicador,entidad,valor
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. BBVA Perú,16.17554181338969
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),BANCOM,13.48262144779545
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. De Crédito del Perú (con sucursales en el exterior),19.814034888575097
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. Pichincha,14.802181937514892
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. Interamericano de Finanzas,16.43212849357136
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Scotiabank Perú,18.716321866129444
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Citibank,28.511336072461884
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Interbank,16.349483667461435
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Mibanco,22.532937133518587
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. GNB,13.29920830059558
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. Falabella Perú,26.143786331688368
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. Santander Perú,17.964508271253294
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. Ripley,20.982148752935007
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Alfin Banco,14.188396984062498
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. ICBC,40.99826927957716
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Bank of China,50.45133768925352
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),B. BCI Perú,29.47058908797771
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Compartamos Banco,23.462313707335902
2026-03,SOLVENCIA,Ratio de Capital Global (al 28/02/2026),Santander Consumer Bank,23.376219479824357
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. BBVA Perú,7.7700000000000005
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),BANCOM,4.13
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. De Crédito del Perú (con sucursales en el exterior),9.98
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Pichincha,6.390000000000001
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Interamericano de Finanzas,12.17
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Scotiabank Perú,6.24
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Citibank,10.92
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Interbank,8.45
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Mibanco,7.24
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. GNB,6.05
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Falabella Perú,4.2
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Santander Perú,6.9
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. Ripley,3.7
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),Alfin Banco,0.65
2026-03,SOLVENCIA,Pasivo Total / Capital Social y Reservas ( N° de veces ),B. ICBC,3.7
