entidad,calificacion_historica_num,calificacion_historica_letra,n_periodos_considerados,primer_periodo,ultimo_periodo,ultima_calificacion_num,ultima_calificacion_letra
BANCO DE CREDITO,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
BBVA,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
CITIBANK DEL PERU,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
SANTANDER PERU,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
RÍMAC SEGUROS,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
SCOTIABANK PERU,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
PACÍFICO SEGUROS,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
INTERSEGURO,10.0,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
MAPFRE PERÚ,9.984,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
INTERBANK,9.751,A+,29,2012 - MARZO,2026 - MARZO,10.0,A+
BANBIF,9.502,A+,29,2012 - MARZO,2026 - MARZO,9.5,A+
BNP PARIBAS CARDIF,9.438,A,29,2012 - MARZO,2026 - MARZO,9.5,A+
DEUTSCHE BANK PERU,9.22,A,9,2012 - MARZO,2016 - MARZO,9.0,A
BANK OF CHINA (PERU),9.167,A,13,2020 - MARZO,2026 - MARZO,9.333,A
ICBC PERU BANK S.A.,9.167,A,25,2014 - MARZO,2026 - MARZO,9.333,A
BANCO GNB,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
CESCE,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
BANCO BCI,9.0,A,8,2022 - SEPTIEMBRE,2026 - MARZO,9.0,A
CHUBB PERÚ,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
COFIDE,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
BN. SANTANDER CONS.,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
NACION,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
MIBANCO,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
LA POSITIVA VIDA,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
SEGUROS SURA,9.0,A,13,2012 - MARZO,2018 - MARZO,9.0,A
FONDO MIVIVIENDA,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
FOGAPI,9.0,A,10,2021 - SEPTIEMBRE,2026 - MARZO,9.0,A
PROTECTA,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
INSUR,9.0,A,29,2012 - MARZO,2026 - MARZO,9.0,A
LA POSITIVA,8.999,A,29,2012 - MARZO,2026 - MARZO,9.0,A
AVLA PERÚ,8.982,A,20,2016 - SEPTIEMBRE,2026 - MARZO,9.0,A
LIBERTY SEGUROS,8.906,A,19,2017 - MARZO,2026 - MARZO,9.0,A
COMPARTAMOS BANCO,8.495,A-,29,2012 - MARZO,2026 - MARZO,8.667,A
FINANCIERA EDYFICAR,8.486,A-,8,2012 - MARZO,2015 - SEPTIEMBRE,8.5,A-
EMP.CRED.SANTANDER,8.47,A-,9,2022 - MARZO,2026 - MARZO,8.5,A-
MITSUI AUTO FINANCE,8.387,A-,5,2024 - MARZO,2026 - MARZO,8.5,A-
BANCO EFECTIVA,8.332,A-,29,2012 - MARZO,2026 - MARZO,8.333,A-
CRECER SEGUROS,8.25,A-,21,2016 - MARZO,2026 - MARZO,8.5,A-
BANCO FALABELLA,8.25,A-,29,2012 - MARZO,2026 - MARZO,8.5,A-
BANCO PICHINCHA,8.001,A-,29,2012 - MARZO,2026 - MARZO,8.0,A-
FINANCIERA SURGIR,8.0,A-,5,2024 - MARZO,2026 - MARZO,8.0,A-
TOTAL SERVICIOS,8.0,A-,4,2024 - SEPTIEMBRE,2026 - MARZO,8.0,A-
AUGUSTAR SEGUROS,8.0,A-,24,2014 - SEPTIEMBRE,2026 - MARZO,8.0,A-
VIVIR SEGUROS,8.0,A-,24,2014 - SEPTIEMBRE,2026 - MARZO,8.0,A-
CRAC CENCOSUD SCOTIA,8.0,A-,26,2013 - SEPTIEMBRE,2026 - MARZO,8.0,A-
QUÁLITAS,8.0,A-,24,2014 - SEPTIEMBRE,2026 - MARZO,8.0,A-
FINANCIERA CONFIANZA,7.999,A-,29,2012 - MARZO,2026 - MARZO,8.0,A-
INFINANCE XP S.A.,7.999,A-,26,2013 - SEPTIEMBRE,2026 - MARZO,8.0,A-
CMAC AREQUIPA,7.888,A-,29,2012 - MARZO,2026 - MARZO,8.0,A-
CMAC HUANCAYO,7.594,A-,29,2012 - MARZO,2026 - MARZO,7.667,A-
CMAC CUSCO,7.583,A-,29,2012 - MARZO,2026 - MARZO,8.0,A-
ALFIN BANCO,7.214,B+,29,2012 - MARZO,2026 - MARZO,7.5,A-
COFACE EL,7.029,B+,8,2017 - MARZO,2020 - SEPTIEMBRE,7.0,B+
BANCOM,7.0,B+,29,2012 - MARZO,2026 - MARZO,7.0,B+
RIGEL PERU EL,7.0,B+,13,2013 - SEPTIEMBRE,2019 - SEPTIEMBRE,7.0,B+
CRAC NUESTRA GENTE,7.0,B+,3,2012 - MARZO,2013 - MARZO,7.0,B+
EMP.CRED.VIVELA,7.0,B+,9,2022 - MARZO,2026 - MARZO,7.0,B+
BANCO RIPLEY,7.0,B+,29,2012 - MARZO,2026 - MARZO,7.0,B+
CMAC TRUJILLO,6.988,B+,29,2012 - MARZO,2026 - MARZO,7.0,B+
AGROBANCO,6.934,B+,26,2012 - SEPTIEMBRE,2026 - MARZO,7.0,B+
INVERSIONES LA CRUZ,6.743,B+,10,2015 - SEPTIEMBRE,2020 - MARZO,7.0,B+
CMAC ICA,6.471,B,29,2012 - MARZO,2026 - MARZO,7.0,B+
CMAC PIURA,6.027,B,29,2012 - MARZO,2026 - MARZO,6.0,B
EMP.CRED.ALTERNATIVA,6.0,B,2,2023 - MARZO,2023 - SEPTIEMBRE,6.0,B
EFIDE,6.0,B,1,2026 - MARZO,2026 - MARZO,6.0,B
SAN MARTIN DE PORRES,6.0,B,1,2026 - MARZO,2026 - MARZO,6.0,B
SN CRISTO DE BAGAZÁN,6.0,B,1,2026 - MARZO,2026 - MARZO,6.0,B
FINANCIERA TFC EL,5.124,B-,15,2012 - MARZO,2019 - MARZO,5.0,B-
AMERIKA FINANC. EL,5.014,B-,22,2012 - MARZO,2022 - SEPTIEMBRE,5.0,B-
EDPYME RAIZ,5.0,B-,9,2012 - MARZO,2016 - MARZO,5.0,B-
LOS ANDES COTARUSI,5.0,B-,1,2026 - MARZO,2026 - MARZO,5.0,B-
CMAC MAYNAS,4.999,B-,29,2012 - MARZO,2026 - MARZO,5.0,B-
ACCESO CREDITICIO,4.903,B-,15,2014 - SEPTIEMBRE,2022 - SEPTIEMBRE,5.0,B-
CRAC LOS ANDES,4.562,B-,29,2012 - MARZO,2026 - MARZO,4.5,C+
CRAC RAÍZ EN LIQUIDA,4.057,C+,23,2012 - MARZO,2023 - MARZO,3.5,C+
KORI,4.0,C+,1,2026 - MARZO,2026 - MARZO,4.0,C+
SAN CRISTOBAL HUAM,4.0,C+,1,2026 - MARZO,2026 - MARZO,4.0,C+
STA MA MAGDALENA,4.0,C+,1,2026 - MARZO,2026 - MARZO,4.0,C+
SAN ISIDRO,4.0,C+,1,2026 - MARZO,2026 - MARZO,4.0,C+
CMCP LIMA,3.875,C+,29,2012 - MARZO,2026 - MARZO,4.0,C+
FINANC. PROEMPRESA,3.262,C,29,2012 - MARZO,2026 - MARZO,3.0,C
FINANCIERA QAPAQ,3.23,C,29,2012 - MARZO,2026 - MARZO,3.333,C
CRAC CAJAMARCA,3.126,C,9,2012 - MARZO,2016 - MARZO,3.5,C+
SAN MIGUEL LTDA,3.0,C,1,2026 - MARZO,2026 - MARZO,3.0,C
CENTRAL CIDERURAL,3.0,C,1,2026 - MARZO,2026 - MARZO,3.0,C
STA ISABEL PERUNORTE,3.0,C,1,2026 - MARZO,2026 - MARZO,3.0,C
CRAC PROFINANZAS,3.0,C,2,2012 - MARZO,2012 - SEPTIEMBRE,3.0,C
