entidad_norm,periodo,calificacion_mes_num,n_agencias,agencias,calificacion_mes_letra
ACCESO CREDITICIO,2014 - SEPTIEMBRE,3.0,1,Moodys Local PE Clasificadora de Riesgo,C
ACCESO CREDITICIO,2015 - MARZO,3.0,1,Moodys Local PE Clasificadora de Riesgo,C
ACCESO CREDITICIO,2015 - SEPTIEMBRE,3.0,1,Moodys Local PE Clasificadora de Riesgo,C
ACCESO CREDITICIO,2016 - MARZO,3.0,1,Moodys Local PE Clasificadora de Riesgo,C
ACCESO CREDITICIO,2016 - SEPTIEMBRE,3.0,1,Moodys Local PE Clasificadora de Riesgo,C
ACCESO CREDITICIO,2017 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
ACCESO CREDITICIO,2017 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
ACCESO CREDITICIO,2018 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
ACCESO CREDITICIO,2019 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
ACCESO CREDITICIO,2019 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
ACCESO CREDITICIO,2020 - SEPTIEMBRE,5.0,1,Apoyo y Asociados Internacionales,B-
ACCESO CREDITICIO,2021 - MARZO,5.0,1,Apoyo y Asociados Internacionales,B-
ACCESO CREDITICIO,2021 - SEPTIEMBRE,4.0,1,Apoyo y Asociados Internacionales,C+
ACCESO CREDITICIO,2022 - MARZO,5.0,1,PCR (Pacific Credit Rating),B-
ACCESO CREDITICIO,2022 - SEPTIEMBRE,5.0,1,PCR (Pacific Credit Rating),B-
AGROBANCO,2012 - SEPTIEMBRE,7.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",B+
AGROBANCO,2013 - MARZO,7.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",B+
AGROBANCO,2013 - SEPTIEMBRE,7.5,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2014 - MARZO,8.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2014 - SEPTIEMBRE,8.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2015 - MARZO,8.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2015 - SEPTIEMBRE,8.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2016 - MARZO,8.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2016 - SEPTIEMBRE,7.5,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2017 - MARZO,7.5,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",A-
AGROBANCO,2017 - SEPTIEMBRE,7.0,2,"Apoyo y Asociados Internacionales, Moodys Local PE Clasificadora de Riesgo",B+
AGROBANCO,2018 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2019 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2020 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2020 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2021 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2021 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2022 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2022 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2023 - MARZO,5.5,2,"Apoyo y Asociados Internacionales, Microrate",B
AGROBANCO,2023 - SEPTIEMBRE,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2024 - MARZO,6.0,1,Apoyo y Asociados Internacionales,B
AGROBANCO,2024 - SEPTIEMBRE,7.0,1,Apoyo y Asociados Internacionales,B+
