periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2012 - MARZO,Banco,ALFIN BANCO,Apoyo y Asociados Internacionales,B-,5.0
2012 - MARZO,Banco,ALFIN BANCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Financiera,AMERIKA FINANC. EL,Class y Asociados S.A.,B+,7.0
2012 - MARZO,Financiera,AMERIKA FINANC. EL,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - MARZO,Banco,BANBIF,Class y Asociados S.A.,A,9.0
2012 - MARZO,Banco,BANBIF,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,10.0
2012 - MARZO,Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - MARZO,Banco,BANCO EFECTIVA,Class y Asociados S.A.,B+,7.0
2012 - MARZO,Banco,BANCO EFECTIVA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A-,8.0
2012 - MARZO,Banco,BANCO FALABELLA,Class y Asociados S.A.,A-,8.0
2012 - MARZO,Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - MARZO,Banco,BANCO GNB,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - MARZO,Banco,BANCO PICHINCHA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - MARZO,Banco,BANCO PICHINCHA,PCR (Pacific Credit Rating),A-,8.0
2012 - MARZO,Banco,BANCO RIPLEY,Apoyo y Asociados Internacionales,B+,7.0
2012 - MARZO,Banco,BANCO RIPLEY,Class y Asociados S.A.,A-,8.0
2012 - MARZO,Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - MARZO,Banco,BANCOM,PCR (Pacific Credit Rating),B+,7.0
2012 - MARZO,Banco,BBVA,Apoyo y Asociados Internacionales,A+,10.0
2012 - MARZO,Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - MARZO,Banco,BBVA,PCR (Pacific Credit Rating),A+,10.0
2012 - MARZO,Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,BN. SANTANDER CONS.,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,BNP Paribas Cardif,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,Class y Asociados S.A.,C-,2.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,PCR (Pacific Credit Rating),D,0.0
2012 - MARZO,Seguros,Cesce,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,Cesce,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Seguros,Chubb Perú,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,10.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Apoyo y Asociados Internacionales,B+,7.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Class y Asociados S.A.,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Apoyo y Asociados Internacionales,C-,2.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Class y Asociados S.A.,C-,2.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Class y Asociados S.A.,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC ICA,Class y Asociados S.A.,C+,4.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC ICA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Class y Asociados S.A.,C+,4.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Microrate,C+,4.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Class y Asociados S.A.,C-,2.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PAITA,PCR (Pacific Credit Rating),C-,2.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PISCO,Class y Asociados S.A.,C,3.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PISCO,PCR (Pacific Credit Rating),C,3.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Class y Asociados S.A.,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Apoyo y Asociados Internacionales,B,6.0
2012 - MARZO,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Class y Asociados S.A.,B,6.0
2012 - MARZO,Banco,COFIDE,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,COFIDE,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - MARZO,Banco,COMPARTAMOS BANCO,Apoyo y Asociados Internacionales,B,6.0
2012 - MARZO,Banco,COMPARTAMOS BANCO,Class y Asociados S.A.,B,6.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,Class y Asociados S.A.,C+,4.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,PCR (Pacific Credit Rating),C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,Class y Asociados S.A.,C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,PCR (Pacific Credit Rating),C-,2.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,PCR (Pacific Credit Rating),B-,5.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,PCR (Pacific Credit Rating),C+,4.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC NUESTRA GENTE,Class y Asociados S.A.,B+,7.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC NUESTRA GENTE,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PROFINANZAS,Apoyo y Asociados Internacionales,C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PROFINANZAS,Class y Asociados S.A.,C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Class y Asociados S.A.,C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,PCR (Pacific Credit Rating),D,0.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Class y Asociados S.A.,C-,2.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Class y Asociados S.A.,C,3.0
2012 - MARZO,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2012 - MARZO,Banco,DEUTSCHE BANK PERU,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,DEUTSCHE BANK PERU,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - MARZO,Empresa de Créditos,EDPYME CREDIVISION,Microrate,C-,2.0
2012 - MARZO,Empresa de Créditos,EDPYME RAIZ,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Financiera,FINANC. CREDINKA,Class y Asociados S.A.,C+,4.0
2012 - MARZO,Financiera,FINANC. CREDINKA,Moodys Local PE Clasificadora de Riesgo,C,3.0
2012 - MARZO,Financiera,FINANC. PROEMPRESA,Class y Asociados S.A.,B-,5.0
2012 - MARZO,Financiera,FINANC. PROEMPRESA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2012 - MARZO,Financiera,FINANCIERA CONFIANZA,Class y Asociados S.A.,B+,7.0
2012 - MARZO,Financiera,FINANCIERA CONFIANZA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - MARZO,Financiera,FINANCIERA EDYFICAR,Apoyo y Asociados Internacionales,A-,8.0
2012 - MARZO,Financiera,FINANCIERA EDYFICAR,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - MARZO,Financiera,FINANCIERA QAPAQ,Class y Asociados S.A.,B+,7.0
2012 - MARZO,Financiera,FINANCIERA TFC EL,Class y Asociados S.A.,B,6.0
2012 - MARZO,Financiera,FINANCIERA TFC EL,PCR (Pacific Credit Rating),B+,7.0
2012 - MARZO,Fondo,FONDO MIVIVIENDA,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Fondo,FONDO MIVIVIENDA,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,Insur,Class y Asociados S.A.,A-,8.0
2012 - MARZO,Seguros,Insur,PCR (Pacific Credit Rating),B+,7.0
2012 - MARZO,Banco,INTERBANK,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,INTERBANK,Class y Asociados S.A.,A+,10.0
2012 - MARZO,Banco,INTERBANK,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - MARZO,Seguros,Interseguro,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,Interseguro,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - MARZO,Seguros,La Positiva,Class y Asociados S.A.,A-,8.0
2012 - MARZO,Seguros,La Positiva,PCR (Pacific Credit Rating),A-,8.0
2012 - MARZO,Seguros,La Positiva Vida,Class y Asociados S.A.,A-,8.0
