periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal,link_pdf
2026 - SEPTIEMBRE,Banco,AGROBANCO,Apoyo y Asociados Internacionales,B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=48&numVersion=1
2026 - SEPTIEMBRE,Banco,ALFIN BANCO,JCR Latino America,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=22&numVersion=1
2026 - SEPTIEMBRE,Banco,ALFIN BANCO,PCR (Pacific Credit Rating),B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=30&numVersion=1
2026 - SEPTIEMBRE,Seguros,AuguStar Seguros,Apoyo y Asociados Internacionales,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=13&numVersion=1
2026 - SEPTIEMBRE,Seguros,AuguStar Seguros,PCR (Pacific Credit Rating),A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=22&numVersion=1
2026 - SEPTIEMBRE,Seguros,AVLA Perú,JCR Latino America,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=2&numVersion=1
2026 - SEPTIEMBRE,Seguros,AVLA Perú,PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=6&numVersion=1
2026 - SEPTIEMBRE,Banco,BANBIF,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=48&numVersion=1
2026 - SEPTIEMBRE,Banco,BANBIF,PCR (Pacific Credit Rating),A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=10&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO BCI,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=28&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO BCI,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=46&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=55&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=5&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO DE CREDITO,PCR (Pacific Credit Rating),A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=33&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO EFECTIVA,JCR Latino America,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=15&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO EFECTIVA,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=6&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO EFECTIVA,PCR (Pacific Credit Rating),A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=14&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=2&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=36&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=2&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO GNB,PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=20&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO PICHINCHA,Apoyo y Asociados Internacionales,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=44&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO PICHINCHA,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=29&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO RIPLEY,Moodys Local PE Clasificadora de Riesgo,B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=31&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCO RIPLEY,PCR (Pacific Credit Rating),B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=31&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=41&numVersion=1
2026 - SEPTIEMBRE,Banco,BANCOM,PCR (Pacific Credit Rating),B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=32&numVersion=1
2026 - SEPTIEMBRE,Banco,BANK OF CHINA (PERU),Apoyo y Asociados Internacionales,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=58&numVersion=1
2026 - SEPTIEMBRE,Banco,BANK OF CHINA (PERU),Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=39&numVersion=1
2026 - SEPTIEMBRE,Banco,BANK OF CHINA (PERU),PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=11&numVersion=1
2026 - SEPTIEMBRE,Banco,BBVA,Apoyo y Asociados Internacionales,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=49&numVersion=1
2026 - SEPTIEMBRE,Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=22&numVersion=1
2026 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=56&numVersion=1
2026 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=44&numVersion=1
2026 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=13&numVersion=1
2026 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=26&numVersion=1
2026 - SEPTIEMBRE,Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL  SOLIDEZ,JCR Latino America,C-,2,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=21&numVersion=1
2026 - SEPTIEMBRE,Cooperativa de Ahorro y Crédito - Nivel 3,CENTRAL CIDERURAL,JCR Latino America,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=20&numVersion=1
2026 - SEPTIEMBRE,Seguros,Cesce,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=10&numVersion=1
2026 - SEPTIEMBRE,Seguros,Cesce,PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=24&numVersion=1
2026 - SEPTIEMBRE,Seguros,Chubb Perú,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=30&numVersion=1
2026 - SEPTIEMBRE,Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=27&numVersion=1
2026 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=25&numVersion=1
2026 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,10,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=13&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,JCR Latino America,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=5&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,PCR (Pacific Credit Rating),A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=12&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Apoyo y Asociados Internacionales,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=42&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,JCR Latino America,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=6&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,PCR (Pacific Credit Rating),A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=28&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Apoyo y Asociados Internacionales,C-,2,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=35&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Microrate,D+,1,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000410&codPeriodo=202601&numArchivo=4&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,JCR Latino America,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=7&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Moodys Local PE Clasificadora de Riesgo,B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=7&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,PCR (Pacific Credit Rating),A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=19&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,JCR Latino America,B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=8&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,PCR (Pacific Credit Rating),B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=18&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Apoyo y Asociados Internacionales,B-,5,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=8&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Moodys Local PE Clasificadora de Riesgo,B-,5,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=25&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Apoyo y Asociados Internacionales,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=10&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Microrate,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000410&codPeriodo=202601&numArchivo=3&numVersion=1
