tipo_entidad,entidad,periodo,Apoyo y Asociados Internacionales,JCR Latino America,Microrate,rating_moodys,PCR (Pacific Credit Rating)
Afianzadora y de Garantías,FOGAPI,2012 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2012 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2013 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2013 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2014 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2014 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2015 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2015 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2016 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2016 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2017 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2017 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2018 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2018 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2019 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2019 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2020 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2020 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2021 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2021 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2022 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2022 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2023 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2023 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2024 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2024 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2025 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2025 - SEPTIEMBRE,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2026 - MARZO,,,,,9.0
Afianzadora y de Garantías,FOGAPI,2026 - SEPTIEMBRE,,,,,9.0
Banco,AGROBANCO,2012 - MARZO,7.0,,,,
Banco,AGROBANCO,2012 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2013 - MARZO,7.0,,,,
Banco,AGROBANCO,2013 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2014 - MARZO,7.0,,,,
Banco,AGROBANCO,2014 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2015 - MARZO,7.0,,,,
Banco,AGROBANCO,2015 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2016 - MARZO,7.0,,,,
Banco,AGROBANCO,2016 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2017 - MARZO,7.0,,,,
Banco,AGROBANCO,2017 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2018 - MARZO,7.0,,,,
Banco,AGROBANCO,2018 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2019 - MARZO,7.0,,,,
Banco,AGROBANCO,2019 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2020 - MARZO,7.0,,,,
Banco,AGROBANCO,2020 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2021 - MARZO,7.0,,,,
Banco,AGROBANCO,2021 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2022 - MARZO,7.0,,,,
Banco,AGROBANCO,2022 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2023 - MARZO,7.0,,,,
Banco,AGROBANCO,2023 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2024 - MARZO,7.0,,,,
Banco,AGROBANCO,2024 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2025 - MARZO,7.0,,,,
Banco,AGROBANCO,2025 - SEPTIEMBRE,7.0,,,,
Banco,AGROBANCO,2026 - MARZO,7.0,,,,
Banco,AGROBANCO,2026 - SEPTIEMBRE,7.0,,,,
Banco,ALFIN BANCO,2012 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2012 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2013 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2013 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2014 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2014 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2015 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2015 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2016 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2016 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2017 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2017 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2018 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2018 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2019 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2019 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2020 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2020 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2021 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2021 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2022 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2022 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2023 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2023 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2024 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2024 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2025 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2025 - SEPTIEMBRE,,8.0,,,7.0
Banco,ALFIN BANCO,2026 - MARZO,,8.0,,,7.0
Banco,ALFIN BANCO,2026 - SEPTIEMBRE,,8.0,,,7.0
Banco,BANBIF,2012 - MARZO,,,,9.0,10.0
Banco,BANBIF,2012 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2013 - MARZO,,,,9.0,10.0
Banco,BANBIF,2013 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2014 - MARZO,,,,9.0,10.0
Banco,BANBIF,2014 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2015 - MARZO,,,,9.0,10.0
Banco,BANBIF,2015 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2016 - MARZO,,,,9.0,10.0
Banco,BANBIF,2016 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2017 - MARZO,,,,9.0,10.0
Banco,BANBIF,2017 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2018 - MARZO,,,,9.0,10.0
Banco,BANBIF,2018 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2019 - MARZO,,,,9.0,10.0
Banco,BANBIF,2019 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2020 - MARZO,,,,9.0,10.0
Banco,BANBIF,2020 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2021 - MARZO,,,,9.0,10.0
Banco,BANBIF,2021 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2022 - MARZO,,,,9.0,10.0
Banco,BANBIF,2022 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2023 - MARZO,,,,9.0,10.0
Banco,BANBIF,2023 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2024 - MARZO,,,,9.0,10.0
Banco,BANBIF,2024 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2025 - MARZO,,,,9.0,10.0
Banco,BANBIF,2025 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANBIF,2026 - MARZO,,,,9.0,10.0
Banco,BANBIF,2026 - SEPTIEMBRE,,,,9.0,10.0
Banco,BANCO BCI,2012 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2012 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2013 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2013 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2014 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2014 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2015 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2015 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2016 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2016 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2017 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2017 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2018 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2018 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2019 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2019 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2020 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2020 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2021 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2021 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2022 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2022 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2023 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2023 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2024 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2024 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2025 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2025 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO BCI,2026 - MARZO,9.0,,,9.0,
Banco,BANCO BCI,2026 - SEPTIEMBRE,9.0,,,9.0,
Banco,BANCO DE CREDITO,2012 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2012 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2013 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2013 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2014 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2014 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2015 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2015 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2016 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2016 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2017 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2017 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2018 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2018 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2019 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2019 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2020 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2020 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2021 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2021 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2022 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2022 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2023 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2023 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2024 - MARZO,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2024 - SEPTIEMBRE,10.0,,,10.0,10.0
Banco,BANCO DE CREDITO,2025 - MARZO,10.0,,,10.0,10.0
