Entidad,Periodo,Rating Real Num,Rating Predicho Num,Rating Real,Rating Predicho
ALFIN BANCO,2022 - MARZO,7.0,6.04,A,A-
ALFIN BANCO,2022 - SEPTIEMBRE,7.0,6.02,A,A-
ALFIN BANCO,2023 - MARZO,7.0,5.78,A,A-
ALFIN BANCO,2023 - SEPTIEMBRE,7.0,5.87,A,A-
ALFIN BANCO,2024 - MARZO,7.0,5.61,A,A-
ALFIN BANCO,2024 - SEPTIEMBRE,7.0,5.88,A,A-
ALFIN BANCO,2025 - MARZO,7.0,5.92,A,A-
ALFIN BANCO,2025 - SEPTIEMBRE,7.0,6.31,A,A-
ALFIN BANCO,2026 - MARZO,7.0,6.15,A,A-
BANBIF,2015 - MARZO,9.0,8.71,AA-,AA-
BANBIF,2015 - SEPTIEMBRE,9.0,7.93,AA-,A+
BANBIF,2016 - MARZO,9.0,8.26,AA-,A+
BANBIF,2016 - SEPTIEMBRE,9.0,8.23,AA-,A+
BANBIF,2017 - MARZO,9.0,8.52,AA-,AA-
BANBIF,2017 - SEPTIEMBRE,9.0,8.37,AA-,A+
BANBIF,2018 - MARZO,9.0,8.47,AA-,A+
BANBIF,2018 - SEPTIEMBRE,9.0,8.68,AA-,AA-
BANBIF,2019 - MARZO,9.0,8.63,AA-,AA-
BANBIF,2019 - SEPTIEMBRE,9.0,8.82,AA-,AA-
BANBIF,2020 - MARZO,9.0,8.5,AA-,AA-
BANBIF,2020 - SEPTIEMBRE,9.0,8.38,AA-,A+
BANBIF,2021 - MARZO,9.0,8.84,AA-,AA-
BANBIF,2021 - SEPTIEMBRE,9.0,8.94,AA-,AA-
BANBIF,2022 - MARZO,9.0,9.28,AA-,AA-
BANBIF,2022 - SEPTIEMBRE,9.0,9.19,AA-,AA-
BANBIF,2023 - MARZO,9.0,9.12,AA-,AA-
BANBIF,2023 - SEPTIEMBRE,9.0,9.07,AA-,AA-
BANBIF,2024 - MARZO,9.0,8.89,AA-,AA-
BANBIF,2024 - SEPTIEMBRE,9.0,8.63,AA-,AA-
BANBIF,2025 - MARZO,9.0,8.9,AA-,AA-
BANBIF,2025 - SEPTIEMBRE,9.0,9.14,AA-,AA-
BANBIF,2026 - MARZO,9.0,9.24,AA-,AA-
BANCO BCI,2022 - SEPTIEMBRE,9.0,6.94,AA-,A
BANCO BCI,2023 - MARZO,9.0,7.15,AA-,A
BANCO BCI,2023 - SEPTIEMBRE,9.0,7.52,AA-,A+
BANCO BCI,2024 - MARZO,9.0,7.16,AA-,A
BANCO BCI,2024 - SEPTIEMBRE,9.0,7.41,AA-,A
BANCO BCI,2025 - MARZO,9.0,8.09,AA-,A+
BANCO BCI,2025 - SEPTIEMBRE,9.0,8.45,AA-,A+
BANCO BCI,2026 - MARZO,9.0,8.51,AA-,AA-
BANCO DE CREDITO,2015 - MARZO,10.0,9.11,AA,AA-
BANCO DE CREDITO,2015 - SEPTIEMBRE,10.0,8.99,AA,AA-
BANCO DE CREDITO,2016 - MARZO,10.0,9.32,AA,AA-
