Entidad,Periodo Indicadores,Proyección septiembre 2026 (Num),Proyección SBS (Letra)
ALFIN BANCO,2026-06,6.25,A-
B. BBVA PERÚ,2026-06,9.71,AA
B. BCI PERÚ,2026-06,8.56,AA-
B. DE CRÉDITO DEL PERÚ (CON SUCURSALES EN EL EXTERIOR),2026-06,9.63,AA
B. EFECTIVA,2026-06,12.0,AAA
B. FALABELLA PERÚ,2026-06,7.11,A
B. GNB,2026-06,8.69,AA-
B. ICBC,2026-06,8.24,A+
B. INTERAMERICANO DE FINANZAS,2026-06,9.33,AA-
B. PICHINCHA,2026-06,8.21,A+
B. RIPLEY,2026-06,6.58,A
B. SANTANDER PERÚ,2026-06,8.57,AA-
BANCOM,2026-06,6.53,A
BANK OF CHINA,2026-06,8.41,A+
CITIBANK,2026-06,8.97,AA-
COMPARTAMOS BANCO,2026-06,8.23,A+
INTERBANK,2026-06,9.11,AA-
MIBANCO,2026-06,7.21,A
SANTANDER CONSUMER BANK,2026-06,8.46,A+
SCOTIABANK PERÚ,2026-06,9.12,AA-
